Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Chhattisgarh,7,95,Shri Tamradhwaj Sahu,DURG,DURG,25,25,0,0,0.12,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
Chhattisgarh,7,96,Shri Vishnu Deo Sai,RAIGARH(ST),RAIGARH,25,25,0,0.91,0.91,2,2018-2019,6/2/19,2.5,,,2014,2019,16
D & N Haveli,7,97,Shri Natubhai Gomanbhai Patel,DADRA & NAGAR HAVELI (ST),DADRA AND NAGAR HAVELI,25,25,0,0.25,2.42,2,2018-2019,30-03-2021,2.5,,,2014,2019,16
Daman & Diu,7,98,Shri Lalubhai Babubhai Patel,DAMAN & DIU,DAMAN,25,22.5,2.5,-1.58,4.74,1,2018-2019,19-06-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Delhi,7,99,Dr. Harsh Vardhan,CHANDINI CHOWK,COMMISSIONER NORTH DELHI MUNICIPAL CORPORATION,25,25,0,0.26,1.1,2,2018-2019,28-03-2022,2.5,,,2014,2019,16
Delhi,7,100,Dr. Udit Raj,NORTH WEST DELHI(SC),COMMISSIONER NORTH DELHI MUNICIPAL CORPORATION,37.5,37.5,0,0.1,3.15,2,2018-2019,27-05-2022,2.5,,,2014,2019,16
Delhi,7,101,Shri Maheish Girri,EAST DELHI,COMMISSIONER EAST DELHI MUNICIPAL CORPORATION,25,22.5,2.5,-2.65,2.03,2,2017-2018,31-12-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Delhi,7,102,Shri Manoj Kumar Tiwari,NORTH EAST DELHI,COMMISSIONER EAST DELHI MUNICIPAL CORPORATION,25,22.5,2.5,-3.36,0.04,1,2018-2019,31-12-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received.",2014,2019,16
Delhi,7,103,Shri Parvesh Sahib Singh,WEST DELHI,COMMISSIONER SOUTH DELHI MUNICIPAL CORPORATION,25,25,0,-0.01,2.5,2,2018-2019,31-05-2022,2.5,,,2014,2019,16
Delhi,7,104,Shri Ramesh Bidhuri,SOUTH DELHI,COMMISSIONER SOUTH DELHI MUNICIPAL CORPORATION,25,22.5,2.5,-2.3,1.8,1,2018-2019,2/6/22,2.5,2 / 2018-2019,,2014,2019,16
Delhi,7,105,Smt. Meenakashi Lekhi,NEW DELHI,COMMISSIONER SOUTH DELHI MUNICIPAL CORPORATION,25,22.5,2.5,0.79,3.47,1,2018-2019,2/3/22,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Goa,7,106,Shri Advocate Narendra Keshav Sawaikar,SOUTH GOA,SOUTH GOA,27.5,20,7.5,-6.55,0,1,2017-2018,12/5/22,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",Incorrect Audit Certificate.,2014,2019,16
Goa,7,107,Shri Shripad Yesso Naik,NORTH GOA,NORTH GOA,25,25,0,1.23,4.86,2,2018-2019,30-06-2022,2.5,,,2014,2019,16
Gujarat,7,108,Dr. Bharati Dhirubhai Shiyal,BHAVNAGAR,BHAVNAGAR,25,25,0,0.67,2.67,2,2018-2019,6/3/20,2.5,,,2014,2019,16
Gujarat,7,109,Dr. K. C. Patel,VALSAD(ST),VALSAD,25,25,0,0.45,0.48,2,2018-2019,4/12/18,2.5,,,2014,2019,16
Gujarat,7,110,Dr. Kirit Premjibhai Solanki,AHMEDABAD WEST(SC),AHMEDABAD,25,25,0,0.47,2.52,2,2018-2019,11/5/22,2.5,,,2014,2019,16
Gujarat,7,111,Shri Haribhai Parthibhai Chaudhary,BANASKANTHA,BANASKANTHA,25,22.5,2.5,-1.61,0.38,1,2018-2019,7/1/20,2.5,2 / 2018-2019,,2014,2019,16
